id,anxiety,cohort
1,10,2018
2,9,2018
3,6,2018
4,6,2018
5,7,2018
6,11,2018
7,8,2018
8,9,2018
9,9,2018
10,8,2018
11,12,2018
12,7,2018
13,7,2018
14,6,2018
15,6,2018
16,9,2018
17,10,2018
18,14,2018
19,10,2018
20,8,2018
21,7,2018
22,9,2018
23,9,2018
24,8,2018
25,7,2018
26,10,2018
27,10,2018
28,7,2018
29,9,2018
30,9,2018
31,9,2019
32,12,2019
33,11,2019
34,12,2019
35,11,2019
36,11,2019
37,10,2019
38,9,2019
39,8,2019
40,6,2019
41,6,2019
42,8,2019
43,10,2019
44,9,2019
45,10,2019
46,10,2019
47,9,2019
48,10,2019
49,11,2019
50,10,2019
51,10,2019
52,9,2019
53,11,2019
54,9,2019
55,9,2019
56,9,2019
57,11,2019
58,5,2019
59,12,2019
60,10,2019
61,11,2020
62,11,2020
63,13,2020
64,10,2020
65,12,2020
66,11,2020
67,14,2020
68,13,2020
69,11,2020
70,15,2020
71,9,2020
72,11,2020
73,13,2020
74,15,2020
75,14,2020
76,14,2020
77,13,2020
78,8,2020
79,10,2020
80,16,2020
81,13,2020
82,12,2020
83,13,2020
84,14,2020
85,10,2020
86,11,2020
87,14,2020
88,11,2020
89,10,2020
90,12,2020
