id,recalled,task,word_frequency
1,11,free_recall,common
2,12,free_recall,common
3,9,free_recall,common
4,8,free_recall,common
5,9,free_recall,common
6,7,free_recall,common
7,10,free_recall,common
8,13,free_recall,common
9,12,free_recall,common
10,8,free_recall,common
11,12,free_recall,common
12,9,free_recall,common
13,9,free_recall,common
14,12,free_recall,common
15,7,free_recall,common
16,12,free_recall,common
17,5,free_recall,common
18,10,free_recall,common
19,11,free_recall,common
20,14,free_recall,common
21,10,free_recall,common
22,9,free_recall,common
23,11,free_recall,common
24,8,free_recall,common
25,10,free_recall,common
26,12,free_recall,rare
27,12,free_recall,rare
28,12,free_recall,rare
29,13,free_recall,rare
30,16,free_recall,rare
31,13,free_recall,rare
32,10,free_recall,rare
33,13,free_recall,rare
34,11,free_recall,rare
35,13,free_recall,rare
36,13,free_recall,rare
37,11,free_recall,rare
38,7,free_recall,rare
39,12,free_recall,rare
40,15,free_recall,rare
41,15,free_recall,rare
42,14,free_recall,rare
43,14,free_recall,rare
44,14,free_recall,rare
45,13,free_recall,rare
46,15,free_recall,rare
47,12,free_recall,rare
48,14,free_recall,rare
49,13,free_recall,rare
50,12,free_recall,rare
51,17,recognition,common
52,12,recognition,common
53,17,recognition,common
54,17,recognition,common
55,16,recognition,common
56,13,recognition,common
57,14,recognition,common
58,14,recognition,common
59,11,recognition,common
60,17,recognition,common
61,13,recognition,common
62,13,recognition,common
63,18,recognition,common
64,14,recognition,common
65,14,recognition,common
66,15,recognition,common
67,16,recognition,common
68,15,recognition,common
69,16,recognition,common
70,15,recognition,common
71,13,recognition,common
72,12,recognition,common
73,15,recognition,common
74,15,recognition,common
75,16,recognition,common
76,7,recognition,rare
77,9,recognition,rare
78,9,recognition,rare
79,12,recognition,rare
80,11,recognition,rare
81,12,recognition,rare
82,9,recognition,rare
83,8,recognition,rare
84,9,recognition,rare
85,11,recognition,rare
86,7,recognition,rare
87,6,recognition,rare
88,13,recognition,rare
89,9,recognition,rare
90,7,recognition,rare
91,13,recognition,rare
92,11,recognition,rare
93,9,recognition,rare
94,11,recognition,rare
95,9,recognition,rare
96,7,recognition,rare
97,9,recognition,rare
98,8,recognition,rare
99,12,recognition,rare
100,11,recognition,rare
